,Open Day,HOUR_ENDING,LZ_HOUSTON,ACTUAL_LZ_SOUTH_HOUSTON
0,06/05/2024,1,21.64,
1,06/05/2024,1,21.45,
2,06/05/2024,1,20.69,
3,06/05/2024,1,19.05,
4,06/05/2024,2,20.44,
5,06/05/2024,2,21.18,
6,06/05/2024,2,21.02,
7,06/05/2024,2,19.31,
8,06/05/2024,3,17.95,
9,06/05/2024,3,17.67,
10,06/05/2024,3,17.58,
11,06/05/2024,3,18.34,
12,06/05/2024,4,19.03,4510.9
13,06/05/2024,4,18.79,4510.9
14,06/05/2024,4,18.13,4510.9
15,06/05/2024,4,17.52,4510.9
16,06/05/2024,5,16.58,4338.35
17,06/05/2024,5,16.48,4338.35
18,06/05/2024,5,16.27,4338.35
19,06/05/2024,5,16.26,4338.35
20,06/05/2024,6,17.04,3846.69
21,06/05/2024,6,17.96,3846.69
22,06/05/2024,6,18.97,3846.69
23,06/05/2024,6,21.21,3846.69
24,06/05/2024,7,22.13,3464.93
25,06/05/2024,7,22.52,3464.93
26,06/05/2024,7,22.57,3464.93
27,06/05/2024,7,22.41,3464.93
28,06/05/2024,8,22.98,3182.07
29,06/05/2024,8,23.13,3182.07
30,06/05/2024,8,22.25,3182.07
31,06/05/2024,8,21.56,3182.07
32,06/05/2024,9,21.3,3470.8
33,06/05/2024,9,19.82,3470.8
34,06/05/2024,9,17.68,3470.8
35,06/05/2024,9,16.7,3470.8
36,06/05/2024,10,17.41,3440.35
37,06/05/2024,10,17.47,3440.35
38,06/05/2024,10,16.52,3440.35
39,06/05/2024,10,16.26,3440.35
40,06/05/2024,11,15.84,2935.22
41,06/05/2024,11,15.43,2935.22
42,06/05/2024,11,14.96,2935.22
43,06/05/2024,11,14.53,2935.22
44,06/05/2024,12,14.57,2606.61
45,06/05/2024,12,14.23,2606.61
46,06/05/2024,12,14.56,2606.61
47,06/05/2024,12,14.97,2606.61
48,06/05/2024,13,16.01,1861.76
49,06/05/2024,13,16.49,1861.76
50,06/05/2024,13,16.38,1861.76
51,06/05/2024,13,16.06,1861.76
52,06/05/2024,14,15.72,2226.14
53,06/05/2024,14,15.79,2226.14
54,06/05/2024,14,16.87,2226.14
55,06/05/2024,14,17.03,2226.14
56,06/05/2024,15,16.62,2622.02
57,06/05/2024,15,18.82,2622.02
58,06/05/2024,15,19.83,2622.02
59,06/05/2024,15,19.66,2622.02
60,06/05/2024,16,18.15,3144.17
61,06/05/2024,16,18.67,3144.17
62,06/05/2024,16,19.36,3144.17
63,06/05/2024,16,20.67,3144.17
64,06/05/2024,17,21.33,3858.47
65,06/05/2024,17,21.55,3858.47
66,06/05/2024,17,21.34,3858.47
67,06/05/2024,17,21.42,3858.47
68,06/05/2024,18,21.36,4526.07
69,06/05/2024,18,20.59,4526.07
70,06/05/2024,18,20.5,4526.07
71,06/05/2024,18,20.9,4526.07
72,06/05/2024,19,21.46,4330.66
73,06/05/2024,19,23.81,4330.66
74,06/05/2024,19,23.1,4330.66
75,06/05/2024,19,23.72,4330.66
76,06/05/2024,20,23.71,4195.62
